Date,Open,High,Low,Close,Volume
2020-09-14,2214.248185845314,2327.231309262704,2212.1584839812645,2313.903564453125,7512131
2020-09-15,2313.903564453125,2357.183702647408,2289.013074759071,2313.903564453125,7318770
2020-09-16,2311.6279306838237,2328.949371600837,2300.808010566558,2324.677001953125,3074003
2020-09-17,2303.315901873909,2317.9438153636324,2276.010554058627,2285.623046875,4828176
2020-09-18,2307.9600415155674,2322.26280177819,2262.8223821979095,2275.360595703125,4183256
2020-09-21,2289.3846577926493,2326.4419495870534,2277.450046666744,2289.663330078125,4598809
2020-09-22,2307.9595520728994,2372.972497201714,2282.883130380357,2343.205810546875,7499613
2020-09-23,2331.1787902549554,2340.3271323817244,2237.374384750672,2291.66015625,7502280
2020-09-24,2275.4536163693188,2275.4536163693188,2138.5549874548005,2166.092529296875,8424708
2020-09-25,2199.2948084413815,2266.165258698045,2184.5276747085545,2249.726318359375,8228267
2020-09-28,2266.1658129677376,2269.880838890636,2197.437833394126,2253.44189453125,4347166
2020-09-29,2261.3827057399903,2332.1539010280208,2253.4417928387134,2311.117431640625,6995811
2020-09-30,2311.674560641413,2326.5346622767133,2284.7406264274314,2314.739501953125,3917166
2020-10-01,2331.1786812971413,2359.0413746990994,2314.739737539422,2343.67041015625,2610337
2020-10-05,2433.341710159121,2533.7403653114975,2417.599334902753,2513.029052734375,17412105
2020-10-06,2541.077798944087,2541.077798944087,2461.297705823777,2520.923828125,9846367
2020-10-07,2546.6500273815504,2572.655206362835,2510.428528086189,2541.031005859375,9656101
2020-10-08,2600.517968316582,2679.4622637833354,2600.517968316582,2624.386962890625,19839329
2020-10-09,2609.8053800941393,2628.241284599006,2581.9426892034544,2612.545166015625,7739245
2020-10-12,2614.9131616383474,2650.670276439653,2601.214007266419,2628.380126953125,4623203
2020-10-13,2642.3122700668337,2651.5068688138826,2611.8490111995766,2625.1767578125,4209878
2020-10-14,2650.779237654936,2650.779237654936,2599.9928899921174,2620.559326171875,4395936
2020-10-15,2621.8650284379364,2637.48802353802,2543.5168739061733,2556.201904296875,6629355
2020-10-16,2565.063433344442,2585.163289363039,2547.528319682502,2577.375244140625,5273773
2020-10-19,2587.354521569289,2587.354521569289,2524.4895460529115,2529.1064453125,3331194
2020-10-20,2541.6514468741443,2574.20314863112,2535.075752633947,2554.70947265625,3406273
2020-10-21,2554.709759456594,2564.0369217766256,2483.8700071787407,2495.388916015625,4570143
2020-10-22,2481.9575830611925,2505.881660335469,2460.5984751042474,2491.424560546875,5262294
2020-10-23,2506.9544446400005,2520.1989680633574,2490.445414781329,2506.021728515625,3499091
2020-10-26,2508.9596457649086,2527.613967899578,2490.818363031721,2507.327392578125,2672752
2020-10-27,2518.100486290197,2535.262372775793,2447.540598937811,2453.183349609375,3537502
2020-10-28,2471.697619046954,2477.2472341959988,2430.658111409948,2445.76806640625,3569445
2020-10-29,2432.5235323323936,2476.361188014764,2425.2949827251946,2455.514892578125,3105968
2020-10-30,2458.733237682805,2494.4096319232904,2445.2088529380453,2485.548828125,3427003
2020-11-02,2481.0241739140542,2485.547936895633,2425.1079039582687,2429.351806640625,2571196
2020-11-03,2428.7933605914995,2485.689057594603,2426.0418929185657,2456.40185546875,2879269
2020-11-04,2434.3888915574444,2538.7132728808124,2434.3888915574444,2474.635498046875,4893928
2020-11-05,2504.342993812989,2527.6608987833147,2487.5541022343546,2504.995849609375,2816502
2020-11-06,2517.4010642293333,2530.6922702927895,2500.892032766982,2525.282470703125,3884421
2020-11-09,2547.341021260767,2559.372967815451,2513.7632417996315,2543.143798828125,3646592
2020-11-10,2515.722603014321,2530.5993839005982,2460.832380059581,2471.325439453125,4760020
2020-11-11,2488.4395979417977,2511.6176815461663,2465.5413746792224,2506.9541015625,3242441
2020-11-12,2505.275849515306,2530.4591882855643,2482.6574804346114,2491.331787109375,2437505
2020-11-13,2477.061079284662,2485.5953415363642,2458.639934103123,2478.087158203125,2548093
2020-11-14,2497.7669723523045,2508.0735305438393,2481.071445662948,2490.678466796875,298819
2020-11-17,2513.6700560917666,2513.6700560917666,2471.744510160958,2486.66796875,2827273
2020-11-18,2481.957343589288,2484.941989327793,2431.637359561735,2449.91845703125,2893762
2020-11-19,2459.572854902006,2496.0886065427912,2453.836740808344,2459.4794921875,4167501
2020-11-20,2476.3615406725753,2495.9485811072736,2450.758526218575,2481.25830078125,2711471
2020-11-23,2509.006618077223,2546.3152666731667,2485.688712704758,2540.9521484375,3706418
2020-11-24,2550.4190547841617,2558.440505090938,2522.997289927447,2538.900146484375,3120516
2020-11-25,2545.382087346723,2549.0662701824813,2507.3272271598485,2519.5458984375,3302249
2020-11-26,2505.2762611793087,2547.2018179969064,2499.67996275523,2537.54833984375,2341099
2020-11-27,2522.996982647169,2534.8424312558222,2489.465885296724,2499.3525390625,6086808
2020-12-01,2498.7471664583663,2551.818637064265,2447.867442703442,2543.3310546875,3605017
2020-12-02,2536.055038568544,2569.352957305611,2520.6185417979955,2564.549560546875,2509032
2020-12-03,2587.2614648276312,2587.2614648276312,2519.080044897618,2527.14794921875,2852548
2020-12-04,2528.4072761259067,2554.570012689003,2517.4011787457,2544.0302734375,2686527
2020-12-07,2532.3242162053125,2559.3729831555715,2524.0695876194177,2553.496826171875,1996400
2020-12-08,2555.6422334908775,2616.7818222472806,2548.6001810638427,2609.0869140625,4277818
2020-12-09,2625.595828885115,2648.913731450702,2605.215890957235,2621.678466796875,3659996
2020-12-10,2628.3939121186713,2637.068217201088,2593.1838801163717,2596.96142578125,2127801
2020-12-11,2604.7964184615626,2618.7871610977445,2578.540549199892,2596.308837890625,1795408
2020-12-14,2613.4709304928306,2615.336362991398,2570.7991620881025,2609.460205078125,2483658
2020-12-15,2598.547296869001,2606.6618821527654,2569.633095073258,2575.742431640625,2365509
2020-12-16,2592.018289205925,2630.07315525954,2574.71635835736,2624.849853515625,2565149
2020-12-17,2621.865030196726,2661.6919632343092,2616.2687334407033,2647.23486328125,2863460
2020-12-18,2675.0307240011143,2703.012216929996,2654.6974602633322,2668.501708984375,6076692
2020-12-21,2668.501208345287,2692.285472872657,2597.6147728911656,2630.399658203125,2705195
2020-12-22,2643.317480213773,2689.6267444184805,2629.0001967071553,2679.22705078125,2881737
2020-12-23,2682.538796340154,2722.5989164227008,2672.651912341222,2713.03857421875,2790988
2020-12-24,2713.2711145318945,2724.790249365979,2689.206993789762,2713.59765625,1807144
2020-12-28,2714.203981857552,2751.2327672700108,2706.7422526978066,2732.298583984375,2108994
2020-12-29,2723.5314306165756,2753.378350404155,2723.5314306165756,2733.324951171875,1994151
2020-12-30,2736.9625556260044,2749.367727668677,2706.742639298324,2713.551513671875,2637968
2020-12-31,2704.876979221247,2709.5405602199044,2653.5775882360163,2670.13330078125,4040956
2021-01-01,2686.2227599675575,2742.185734133548,2685.2900437314574,2731.226318359375,2681440
2021-01-04,2751.51267668558,2845.483829965605,2743.0715498804243,2834.944091796875,5113293
2021-01-05,2835.0844008235376,2904.7115777080744,2835.0844008235376,2884.891357421875,5801309
2021-01-06,2891.420331189579,2904.0120003737916,2832.8457060343085,2846.18359375,3726716
2021-01-07,2868.1020292538874,2873.5585095658303,2798.3815002500737,2828.741455078125,3717827
2021-01-08,2882.0932213718534,2917.536438980957,2854.1117337857186,2910.9140625,5879039
2021-01-11,3012.6730679940624,3012.6730679940624,2934.837953312661,2962.72607421875,9508039
2021-01-12,2962.726340157175,2994.0190143389214,2938.0560421082873,2961.234130859375,3611458
2021-01-13,2961.373949218409,2963.2393816273657,2915.904034250095,2946.40380859375,3572801
2021-01-14,2948.3194894098456,3052.51524949517,2915.9860053352318,3037.750244140625,6931542
2021-01-15,3023.0784400129205,3059.5235896761365,2999.7161645877823,3021.53662109375,4131692
2021-01-18,3037.0959053030674,3043.4037198756196,2978.5966744528,3010.696533203125,4160906
2021-01-19,3021.209371759607,3064.1959573151103,3020.27488076927,3047.0947265625,2975735
2021-01-20,3055.7863717913106,3109.94009382097,3053.0764384391523,3092.044677734375,3453446
2021-01-21,3088.493342127969,3092.3713892563055,3048.403761865756,3059.384033203125,2778546
2021-01-22,3029.5272124296625,3107.1835296475892,3029.5272124296625,3086.71826171875,3052459
2021-01-25,3092.184350863732,3121.0134932209594,3063.86922425278,3075.690673828125,2272887
2021-01-27,3083.8207473822663,3089.8481695772452,3015.6028944856284,3047.42236328125,2786662
2021-01-28,3018.406388143223,3060.458489526023,2975.232943019665,2987.147705078125,3083938
2021-01-29,2999.7632811331223,3006.1178664119307,2896.9224872077957,2907.529052734375,5445659
2021-02-01,2896.9225069442837,2957.664430476986,2844.6845439650588,2933.69482421875,3985846
2021-02-02,2966.074983704016,3012.7995423634998,2943.647195547464,2993.595703125,2881837
2021-02-03,3002.5198266933844,3024.013121437844,2955.468109765641,2990.418212890625,2505866
2021-02-04,3005.3709095784775,3025.7428663517594,2967.9444859072714,2979.578857421875,2057261
2021-02-05,2989.3905549118863,2995.8386810291277,2924.022941619547,2951.076416015625,2366135
2021-02-08,2980.559522160123,3014.66844912637,2948.459659906959,3003.548095703125,2526592
2021-02-09,2985.699293576017,3033.171490727742,2956.7300672533706,2968.784912109375,2658751
2021-02-10,2976.3539072566514,3008.5003071781794,2950.4685515576784,3002.800048828125,2127983
2021-02-11,3004.3889356626246,3008.407293087828,2976.400972389089,2995.978515625,1165882
2021-02-12,2975.606193927841,3032.8905378064087,2973.55035935911,2981.77392578125,2777404
2021-02-15,2998.7818311980895,2998.7818311980895,2926.4055437560833,2934.161865234375,2630853
2021-02-16,2943.647231409388,2960.1409095582217,2896.9226721806676,2905.146240234375,3435770
2021-02-17,2901.688629615221,2927.6207596398217,2846.039634689734,2871.784912109375,3678426
2021-02-18,2864.216150788004,2894.960826694143,2832.443443079426,2857.0673828125,4189909
2021-02-19,2857.6736626330103,2884.9139857841087,2818.5651204973383,2870.616455078125,3725028
2021-02-22,2893.1845654301756,2893.1845654301756,2750.347503620241,2764.645263671875,5366696
2021-02-23,2775.438694954386,2829.6391812531588,2773.5697126682217,2784.970458984375,3832829
2021-02-24,2777.307389276297,2806.60377483324,2729.7884283186504,2754.97314453125,3774549
2021-02-25,2779.1768347367774,2831.41480166946,2773.9903629362448,2799.08154296875,4224073
2021-02-26,2766.0932768499642,2777.6343316119214,2691.3339990972627,2704.697265625,5553153
2021-03-01,2734.3215342604644,2770.766694833314,2711.706890508821,2732.639404296875,3265871
2021-03-02,2766.0937160193957,2826.835638837389,2754.879822576074,2809.407470703125,3306469
2021-03-03,2836.18154569558,2863.281797697284,2800.5773302551,2858.702880859375,3509857
2021-03-04,2824.9668555700478,2879.587819767942,2818.4721874561287,2849.917724609375,3916760
2021-03-05,2818.519037782043,2862.5334370102696,2800.2964591350483,2810.996337890625,3203686
2021-03-08,2818.4256975640824,2834.3120493076462,2799.7358719834183,2809.968505859375,2003125
2021-03-09,2809.967842645938,2865.9905359719482,2796.0907873159526,2851.08544921875,1942397
2021-03-10,2873.559391812021,2890.5670798186757,2859.5420289251333,2869.774658203125,3053778
2021-03-12,2873.559826170307,2912.808448186292,2842.114295266387,2857.626708984375,2938317
2021-03-15,2841.7871928783857,2895.9876720585717,2841.7871928783857,2865.28955078125,3097083
2021-03-16,2859.543122115841,2935.2369106424367,2859.543122115841,2906.314453125,4894756
2021-03-17,2901.5947674168274,2948.319320837388,2883.185338998573,2909.02392578125,3838390
2021-03-18,2921.1724601361775,2940.3295280253615,2791.3717353068955,2837.582275390625,3656306
2021-03-19,2831.5083331739183,2895.988225909562,2808.146053197236,2850.385009765625,5776626
